,time,id,x,y,z,velocity,angle of motion,facing angle
15944872,1351073961.191,19192000,-18389,-4251,1335.506,1089.803,0.738,0.75
15944880,1351073961.233,19192000,-18323,-4268,1355.629,1041.973,0.593,0.608
15944888,1351073961.274,19192000,-18233,-4329,1333.2279999999998,1068.146,0.359,0.405
15944896,1351073961.317,19192000,-18116,-4411,1338.444,1132.904,0.179,0.147
15944904,1351073961.358,19192000,-18021,-4492,1397.5179999999998,1277.66,-0.055999999999999994,-0.083
15944912,1351073961.398,19192000,-17930,-4562,1419.816,1379.63,-0.209,-0.218
15944920,1351073961.437,19192000,-17860,-4591,1442.432,1432.481,-0.205,-0.27699999999999997
15944928,1351073961.481,19192000,-17798,-4591,1448.579,1403.6660000000002,-0.223,-0.267
15944936,1351073961.52,19192000,-17767,-4563,1447.069,1267.05,-0.253,-0.265
15944944,1351073961.562,19192000,-17720,-4543,1448.5510000000002,1186.287,-0.18600000000000003,-0.294
15944952,1351073961.603,19192000,-17702,-4518,1373.375,1036.988,-0.21899999999999997,-0.29
15944960,1351073961.644,19192000,-17682,-4510,1359.9660000000001,1014.697,-0.265,-0.28800000000000003
15944968,1351073961.685,19192000,-17643,-4505,1401.4779999999998,998.429,-0.268,-0.243
15944976,1351073961.724,19192000,-17601,-4500,1407.469,1009.302,-0.209,-0.179
15944984,1351073961.763,19192000,-17557,-4491,1397.1670000000001,1039.016,-0.18899999999999997,-0.155
15944992,1351073961.802,19192000,-17533,-4456,1396.979,1038.105,-0.121,-0.151
15945000,1351073961.841,19192000,-17514,-4418,1377.8470000000002,968.23,-0.051,-0.109
15945008,1351073961.88,19192000,-17484,-4403,1373.6570000000002,919.784,-0.03,-0.07400000000000001
15945016,1351073961.919,19192000,-17461,-4391,1258.1019999999999,890.058,-0.003,-0.019
15945024,1351073961.957,19192000,-17427,-4384,1241.441,883.9760000000001,0.008,-0.032
15945032,1351073961.9980001,19192000,-17397,-4382,1240.037,884.313,-0.024,-0.015
15945040,1351073962.04,19192000,-17354,-4384,1350.365,903.137,-0.057999999999999996,-0.045
15945048,1351073962.079,19192000,-17341,-4379,1246.1989999999998,876.508,-0.001,-0.03
15945056,1351073962.119,19192000,-17341,-4370,1218.518,758.4689999999999,-0.046,-0.08
15945064,1351073962.16,19192000,-17267,-4365,1317.5739999999998,838.18,-0.0,-0.091
15945072,1351073962.201,19192000,-17220,-4356,1347.239,847.997,-0.045,-0.094
15945080,1351073962.243,19192000,-17186,-4328,1312.894,893.587,0.006,-0.027999999999999997
15945088,1351073962.284,19192000,-17152,-4296,1300.925,872.4,0.042,0.054000000000000006
15945096,1351073962.323,19192000,-17145,-4290,1045.914,827.658,0.05,0.031
15945104,1351073962.363,19192000,-17142,-4299,922.393,746.6010000000001,0.040999999999999995,0.045
15945112,1351073962.405,19192000,-17103,-4252,971.4860000000001,746.709,0.184,0.14300000000000002
15945120,1351073962.446,19192000,-17072,-4222,1000.2719999999999,716.637,0.183,0.22899999999999998
15945128,1351073962.486,19192000,-16967,-4078,1190.242,864.2260000000001,0.311,0.39899999999999997
15945136,1351073962.526,19192000,-16914,-3966,1284.829,909.176,0.526,0.524
15945144,1351073962.567,19192000,-16897,-3943,1238.29,842.698,0.603,0.5670000000000001
15945152,1351073962.608,19192000,-16888,-3938,1238.5439999999999,787.023,0.598,0.52
15945160,1351073962.648,19192000,-16878,-3966,1183.4189999999999,762.727,0.46799999999999997,0.474
15945168,1351073962.688,19192000,-16865,-3993,1148.296,794.296,0.418,0.413
15945176,1351073962.728,19192000,-16846,-3975,1058.065,817.936,0.395,0.377
15945184,1351073962.7710001,19192000,-16806,-3902,1053.7930000000001,866.497,0.41600000000000004,0.385
15945192,1351073962.812,19192000,-16786,-3968,1045.8519999999999,835.8910000000001,0.27699999999999997,0.258
15945200,1351073962.852,19192000,-16758,-4027,1020.922,844.53,0.24600000000000002,0.152
15945208,1351073962.8930001,19192000,-16620,-3683,1259.711,1012.4860000000001,0.436,0.419
15945216,1351073962.934,19192000,-16583,-3682,1248.122,954.8660000000001,0.409,0.397
15945224,1351073962.974,19192000,-16528,-3667,1279.421,954.533,0.387,0.374
15945232,1351073963.014,19192000,-16487,-3670,1307.067,966.2769999999999,0.31,0.308
15945240,1351073963.06,19192000,-16452,-3661,1251.012,945.672,0.237,0.235
15945248,1351073963.103,19192000,-16420,-3661,1201.747,923.934,0.151,0.20800000000000002
15945256,1351073963.1460001,19192000,-16394,-3647,1153.23,917.059,0.243,0.258
15945264,1351073963.187,19192000,-16370,-3646,1151.8010000000002,945.192,0.28600000000000003,0.255
15945272,1351073963.2289999,19192000,-16329,-3637,1128.577,906.319,0.282,0.249
15945280,1351073963.269,19192000,-16304,-3643,1151.258,897.196,0.28,0.252
15945288,1351073963.309,19192000,-16255,-3636,1222.244,832.3389999999999,0.21600000000000003,0.23399999999999999
15945296,1351073963.351,19192000,-16226,-3632,1254.615,841.045,0.193,0.225
15945304,1351073963.3930001,19192000,-16177,-3630,1319.4470000000001,844.0369999999999,0.226,0.253
15945312,1351073963.432,19192000,-16130,-3633,1327.999,941.057,0.22399999999999998,0.278
15945320,1351073963.475,19192000,-16097,-3624,1120.703,973.0039999999999,0.27,0.264
15945328,1351073963.515,19192000,-16064,-3604,1119.171,1043.3410000000001,0.295,0.251
15945336,1351073963.559,19192000,-16025,-3598,1230.004,1019.11,0.29100000000000004,0.253
15945344,1351073963.599,19192000,-15974,-3593,1251.6860000000001,1007.096,0.255,0.23600000000000002
15945352,1351073963.638,19192000,-15920,-3574,1357.586,1056.587,0.249,0.21100000000000002
15945360,1351073963.678,19192000,-15865,-3553,1361.5839999999998,1094.192,0.27399999999999997,0.195
15945368,1351073963.7189999,19192000,-15794,-3529,1380.46,1178.588,0.185,0.213
15945376,1351073963.7580001,19192000,-15742,-3529,1381.859,1230.413,0.196,0.203
15945384,1351073963.798,19192000,-15688,-3511,1370.4189999999999,1216.031,0.175,0.19699999999999998
15945392,1351073963.84,19192000,-15653,-3498,1376.604,1151.848,0.19399999999999998,0.182
15945400,1351073963.879,19192000,-15609,-3504,1438.8010000000002,1124.4569999999999,0.16,0.16399999999999998
15945408,1351073963.919,19192000,-15583,-3499,1443.1889999999999,1033.4089999999999,0.161,0.153
15945416,1351073963.958,19192000,-15552,-3496,1446.382,1024.673,0.079,0.124
15945424,1351073964.0,19192000,-15505,-3505,1367.348,1026.0230000000001,0.047,0.073
15945432,1351073964.042,19192000,-15452,-3519,1249.112,988.206,0.032,0.021
15945440,1351073964.079,19192000,-15419,-3525,1284.414,989.191,0.008,0.022000000000000002
15945448,1351073964.12,19192000,-15383,-3521,1270.053,963.8430000000001,-0.028999999999999998,-0.005
15945456,1351073964.161,19192000,-15342,-3510,1288.215,986.4889999999999,-0.071,-0.07200000000000001
15945464,1351073964.202,19192000,-15278,-3523,1299.2930000000001,984.82,-0.12,-0.115
15945472,1351073964.246,19192000,-15223,-3514,1310.135,986.6610000000001,-0.07200000000000001,-0.11800000000000001
15945480,1351073964.2910001,19192000,-15184,-3462,1288.59,925.177,-0.038,-0.08800000000000001
15945488,1351073964.331,19192000,-15151,-3451,1323.3010000000002,922.53,-0.113,-0.14400000000000002
15945496,1351073964.37,19192000,-15120,-3458,1383.5120000000002,914.76,-0.156,-0.205
15945504,1351073964.411,19192000,-15091,-3461,1399.4520000000002,884.331,-0.183,-0.244
15945512,1351073964.454,19192000,-15046,-3476,1372.771,879.3489999999999,-0.18600000000000003,-0.273
15945520,1351073964.497,19192000,-14997,-3500,1364.911,863.5930000000001,-0.235,-0.264
15945528,1351073964.537,19192000,-14972,-3495,1334.3270000000002,911.628,-0.325,-0.261
15945536,1351073964.581,19192000,-14946,-3475,1340.3570000000002,846.596,-0.204,-0.22699999999999998
15945544,1351073964.6230001,19192000,-14921,-3451,1193.008,883.89,-0.158,-0.22
15945552,1351073964.665,19192000,-14896,-3426,1182.505,849.575,-0.154,-0.156
15945560,1351073964.705,19192000,-14863,-3413,1371.5220000000002,839.39,-0.08800000000000001,-0.067
15945568,1351073964.747,19192000,-14827,-3392,1425.569,810.4860000000001,0.046,-0.022000000000000002
15945576,1351073964.789,19192000,-14781,-3378,1409.6329999999998,863.196,0.11199999999999999,0.017
15945584,1351073964.829,19192000,-14753,-3355,1407.9720000000002,861.294,0.15,0.07200000000000001
15945592,1351073964.872,19192000,-14697,-3341,1367.354,919.837,0.11699999999999999,0.052000000000000005
15945600,1351073964.913,19192000,-14654,-3323,1361.2910000000002,968.988,0.08900000000000001,0.062
15945608,1351073964.955,19192000,-14596,-3282,1375.6570000000002,989.324,0.231,0.14400000000000002
15945616,1351073964.995,19192000,-14545,-3266,1390.172,992.658,0.19399999999999998,0.17600000000000002
15945624,1351073965.04,19192000,-14501,-3256,1313.723,968.0010000000001,0.163,0.174
15945632,1351073965.083,19192000,-14472,-3253,1331.16,967.6189999999999,0.13,0.142
15945640,1351073965.1260002,19192000,-14414,-3261,1287.624,921.355,0.027000000000000003,0.04
15945648,1351073965.168,19192000,-14373,-3255,1273.705,924.6460000000001,0.015,-0.013000000000000001
15945656,1351073965.2089999,19192000,-14318,-3244,1344.092,988.878,-0.003,-0.01
15945664,1351073965.2489998,19192000,-14272,-3230,1387.229,998.0319999999999,0.031,0.054000000000000006
15945672,1351073965.289,19192000,-14232,-3227,1340.4720000000002,1017.558,0.038,0.055999999999999994
15945680,1351073965.33,19192000,-14202,-3220,1335.8239999999998,1010.925,0.027000000000000003,0.08199999999999999
15945688,1351073965.3730001,19192000,-14157,-3211,1303.7910000000002,1006.69,0.066,0.10099999999999999
15945696,1351073965.415,19192000,-14133,-3197,1313.941,993.544,0.107,0.106
15945704,1351073965.462,19192000,-14075,-3197,1297.438,965.323,-0.005,-0.004
15945712,1351073965.504,19192000,-14046,-3183,1178.768,910.347,0.027000000000000003,0.035
15945720,1351073965.547,19192000,-14004,-3176,1198.2269999999999,927.888,0.016,0.027000000000000003
15945728,1351073965.591,19192000,-13984,-3183,1185.642,930.325,-0.053,0.057
15945736,1351073965.632,19192000,-13931,-3178,1258.101,889.028,-0.057,0.047
15945744,1351073965.674,19192000,-13881,-3138,1403.5629999999999,931.597,0.07400000000000001,0.149
15945752,1351073965.718,19192000,-13844,-3104,1423.96,973.573,0.17600000000000002,0.191
15945760,1351073965.76,19192000,-13790,-3079,1396.0320000000002,1032.5639999999999,0.212,0.196
15945768,1351073965.801,19192000,-13746,-3048,1389.807,1073.7269999999999,0.265,0.23
15945776,1351073965.848,19192000,-13667,-3038,1460.1670000000001,1140.521,0.27399999999999997,0.239
15945784,1351073965.889,19192000,-13600,-3013,1482.761,1206.13,0.305,0.247
15945792,1351073965.928,19192000,-13554,-2992,1457.727,1195.826,0.268,0.217
15945800,1351073965.968,19192000,-13526,-2974,1456.9279999999999,1172.626,0.247,0.231
15945808,1351073966.0110002,19192000,-13495,-2974,1415.6370000000002,1119.029,0.226,0.265
15945816,1351073966.05,19192000,-13470,-2972,1412.7089999999998,1087.298,0.23199999999999998,0.222
15945824,1351073966.091,19192000,-13439,-2958,1358.7079999999999,1112.5410000000002,0.18899999999999997,0.217
15945832,1351073966.1330001,19192000,-13401,-2948,1351.17,1111.95,0.198,0.19899999999999998
15945840,1351073966.174,19192000,-13341,-2934,1351.621,1219.693,0.182,0.18100000000000002
15945848,1351073966.214,19192000,-13306,-2923,1354.9070000000002,1142.116,0.204,0.193
15945856,1351073966.256,19192000,-13243,-2908,1463.487,1140.96,0.195,0.138
15945864,1351073966.296,19192000,-13208,-2892,1476.5020000000002,1133.847,0.237,0.145
15945872,1351073966.336,19192000,-13182,-2910,1371.829,1094.463,0.183,0.114
15945880,1351073966.378,19192000,-13149,-2924,1388.533,1037.6,0.113,0.084
15945888,1351073966.42,19192000,-13114,-2913,1179.423,1048.412,0.14400000000000002,0.115
15945896,1351073966.462,19192000,-13085,-2910,1165.463,1065.619,0.136,0.12
15945904,1351073966.503,19192000,-13048,-2893,1124.231,1075.51,0.18899999999999997,0.166
15945912,1351073966.544,19192000,-13010,-2862,1123.905,1078.0639999999999,0.237,0.20199999999999999
15945920,1351073966.588,19192000,-12945,-2838,1395.836,1154.128,0.221,0.192
15945928,1351073966.629,19192000,-12880,-2820,1435.537,1265.147,0.156,0.201
15945936,1351073966.669,19192000,-12826,-2804,1417.501,1279.41,0.16,0.233
15945944,1351073966.711,19192000,-12771,-2779,1409.17,1232.917,0.22,0.228
15945952,1351073966.7510002,19192000,-12730,-2765,1418.539,1291.226,0.182,0.223
15945960,1351073966.794,19192000,-12703,-2751,1430.1660000000002,1269.349,0.244,0.191
15945968,1351073966.835,19192000,-12664,-2736,1388.1229999999998,1282.878,0.175,0.172
15945976,1351073966.8760002,19192000,-12654,-2723,1379.001,1261.14,0.235,0.18600000000000003
15945984,1351073966.9160001,19192000,-12628,-2710,1292.781,1211.115,0.226,0.18
15945992,1351073966.96,19192000,-12607,-2691,1279.114,1212.897,0.18,0.16
15946000,1351073967.0,19192000,-12575,-2675,1438.991,1175.259,0.239,0.205
15946008,1351073967.042,19192000,-12537,-2652,1466.7839999999999,1225.996,0.24,0.231
15946016,1351073967.085,19192000,-12494,-2636,1436.0279999999998,1234.903,0.21600000000000003,0.28300000000000003
15946024,1351073967.128,19192000,-12456,-2613,1440.1770000000001,1184.469,0.256,0.342
15946032,1351073967.171,19192000,-12408,-2598,1408.3529999999998,1160.562,0.267,0.325
15946040,1351073967.211,19192000,-12382,-2563,1381.181,1168.364,0.319,0.348
15946048,1351073967.255,19192000,-12332,-2548,1350.41,1237.5410000000002,0.33799999999999997,0.33899999999999997
15946056,1351073967.295,19192000,-12296,-2544,1348.64,1219.128,0.314,0.302
15946064,1351073967.338,19192000,-12255,-2540,1355.4260000000002,1275.066,0.24100000000000002,0.215
15946072,1351073967.379,19192000,-12215,-2550,1358.7839999999999,1252.557,0.18899999999999997,0.14
15946080,1351073967.421,19192000,-12153,-2549,1420.0629999999999,1318.902,0.115,0.081
15946088,1351073967.463,19192000,-12094,-2536,1433.359,1364.2479999999998,0.079,0.09
15946096,1351073967.5019999,19192000,-12043,-2530,1373.308,1378.325,0.08900000000000001,0.083
15946104,1351073967.543,19192000,-12004,-2539,1394.42,1372.4160000000002,0.08800000000000001,0.08199999999999999
15946112,1351073967.5839999,19192000,-11976,-2531,1395.503,1328.07,0.133,0.127
15946120,1351073967.625,19192000,-11931,-2508,1407.997,1323.4679999999998,0.19399999999999998,0.19699999999999998
15946128,1351073967.665,19192000,-11892,-2487,1309.8519999999999,1248.08,0.205,0.21899999999999997
15946136,1351073967.707,19192000,-11856,-2467,1297.941,1227.282,0.223,0.249
15946144,1351073967.7480001,19192000,-11820,-2450,1263.777,1218.488,0.256,0.273
15946152,1351073967.788,19192000,-11788,-2439,1255.654,1120.353,0.251,0.303
15946160,1351073967.828,19192000,-11744,-2426,1379.55,1160.753,0.212,0.284
15946168,1351073967.868,19192000,-11689,-2421,1407.04,1226.4589999999998,0.20199999999999999,0.24600000000000002
15946176,1351073967.909,19192000,-11619,-2393,1394.4489999999998,1295.481,0.302,0.237
15946184,1351073967.95,19192000,-11576,-2387,1396.1779999999999,1353.3129999999999,0.28,0.27699999999999997
15946192,1351073967.995,19192000,-11510,-2356,1380.8629999999998,1336.8829999999998,0.27899999999999997,0.275
15946200,1351073968.035,19192000,-11456,-2344,1378.01,1343.11,0.304,0.27
15946208,1351073968.081,19192000,-11424,-2339,1331.781,1255.1,0.34700000000000003,0.24100000000000002
15946216,1351073968.1230001,19192000,-11398,-2345,1330.229,1101.792,0.282,0.196
15946224,1351073968.167,19192000,-11369,-2321,1444.77,1058.3980000000001,0.27399999999999997,0.188
15946232,1351073968.205,19192000,-11343,-2316,1456.2020000000002,1009.865,0.222,0.163
15946240,1351073968.246,19192000,-11325,-2313,1311.54,940.461,0.136,0.12
15946248,1351073968.286,19192000,-11314,-2305,1301.651,869.921,0.134,0.10800000000000001
15946256,1351073968.324,19192000,-11266,-2300,1401.501,859.395,0.132,0.098
15946264,1351073968.363,19192000,-11213,-2295,1421.365,853.485,0.183,0.08800000000000001
15946272,1351073968.404,19192000,-11147,-2292,1374.741,873.3989999999999,0.111,0.07400000000000001
15946280,1351073968.444,19192000,-11106,-2287,1368.9260000000002,896.454,0.149,0.07200000000000001
15946288,1351073968.483,19192000,-11067,-2301,1340.388,905.0989999999999,0.044000000000000004,0.004
15946296,1351073968.523,19192000,-11049,-2314,1337.0510000000002,872.855,0.037000000000000005,-0.033
15946304,1351073968.562,19192000,-11019,-2306,1296.953,866.6519999999999,0.066,-0.03
15946312,1351073968.603,19192000,-10984,-2301,1287.405,807.302,0.10300000000000001,0.039
15946320,1351073968.642,19192000,-10951,-2312,1273.548,793.447,0.057,0.038
15946329,1351073968.682,19192000,-10925,-2319,1288.969,835.985,-0.011000000000000001,-0.027000000000000003
15946338,1351073968.724,19192000,-10877,-2321,1440.1979999999999,878.823,-0.012,-0.078
15946347,1351073968.763,19192000,-10847,-2321,1451.099,846.2389999999999,-0.055,-0.076
15946356,1351073968.803,19192000,-10833,-2328,1410.971,806.7310000000001,-0.049,-0.052000000000000005
15946365,1351073968.847,19192000,-10792,-2328,1400.7579999999998,883.312,-0.066,-0.017
15946374,1351073968.887,19192000,-10746,-2328,1370.443,947.91,0.027000000000000003,0.035
15946383,1351073968.926,19192000,-10713,-2312,1368.9879999999998,996.4789999999999,0.05,0.059000000000000004
15946392,1351073968.965,19192000,-10664,-2290,1328.8310000000001,1009.372,0.055,0.078
15946401,1351073969.006,19192000,-10599,-2284,1313.973,1053.712,0.084,0.068
15946410,1351073969.045,19192000,-10538,-2296,1309.766,1023.4119999999999,0.044000000000000004,0.075
15946419,1351073969.085,19192000,-10509,-2286,1310.75,987.925,-0.006,0.039
15946428,1351073969.1230001,19192000,-10451,-2296,1428.776,946.217,-0.054000000000000006,0.006999999999999999
15946437,1351073969.162,19192000,-10432,-2297,1256.404,862.687,-0.07200000000000001,0.006999999999999999
15946446,1351073969.201,19192000,-10422,-2291,1249.491,762.671,-0.057999999999999996,0.01
15946455,1351073969.2410002,19192000,-10377,-2290,1395.406,766.5010000000001,-0.018000000000000002,-0.027999999999999997
15946464,1351073969.2810001,19192000,-10346,-2272,1421.389,756.1,0.0,-0.059000000000000004
15946473,1351073969.321,19192000,-10324,-2266,1396.8239999999998,778.6260000000001,-0.018000000000000002,-0.039
15946482,1351073969.361,19192000,-10282,-2250,1391.905,820.413,0.046,0.006
15946491,1351073969.402,19192000,-10231,-2231,1140.46,875.34,0.111,0.024
15946500,1351073969.442,19192000,-10195,-2241,1120.389,955.1089999999999,0.077,0.037000000000000005
15946509,1351073969.4819999,19192000,-10142,-2246,1182.7939999999999,980.7130000000001,0.096,0.083
15946518,1351073969.519,19192000,-10098,-2232,1155.681,945.4119999999999,0.128,0.153
15946527,1351073969.561,19192000,-10039,-2229,1242.96,995.9810000000001,0.024,0.07
15946536,1351073969.599,19192000,-9984,-2226,1253.849,1062.891,-0.018000000000000002,0.04
15946545,1351073969.639,19192000,-9929,-2235,1248.546,1097.518,-0.054000000000000006,0.01
15946554,1351073969.678,19192000,-9898,-2245,1289.978,1067.838,-0.027999999999999997,0.021
15946563,1351073969.7189999,19192000,-9842,-2261,1427.07,1054.732,-0.026000000000000002,0.027000000000000003
15946572,1351073969.76,19192000,-9815,-2275,1434.634,1031.277,0.01,0.02
15946581,1351073969.798,19192000,-9762,-2266,1160.389,1041.062,0.053,0.055999999999999994
15946590,1351073969.837,19192000,-9721,-2257,1131.565,1048.935,0.047,0.051
15946599,1351073969.875,19192000,-9674,-2241,1082.573,1034.211,0.013999999999999999,0.01
15946607,1351073969.913,19192000,-9637,-2225,1080.336,985.05,-0.077,-0.05
15946615,1351073969.952,19192000,-9590,-2222,1233.547,1046.6580000000001,-0.10400000000000001,-0.079
15946623,1351073969.9910002,19192000,-9544,-2203,1288.938,1074.58,-0.10400000000000001,-0.11800000000000001
15946631,1351073970.0310001,19192000,-9508,-2196,1278.789,1063.754,-0.11199999999999999,-0.13699999999999998
15946639,1351073970.068,19192000,-9466,-2190,1279.879,1076.506,-0.084,-0.142
15946647,1351073970.109,19192000,-9434,-2164,1275.085,1039.861,-0.055,-0.14400000000000002
15946655,1351073970.149,19192000,-9386,-2154,1273.097,1074.362,-0.075,-0.13699999999999998
15946663,1351073970.189,19192000,-9344,-2157,1297.276,1120.94,-0.14400000000000002,-0.16
15946671,1351073970.226,19192000,-9315,-2172,1234.28,1100.012,-0.16899999999999998,-0.14800000000000002
15946679,1351073970.265,19192000,-9278,-2172,1228.8210000000001,1061.649,-0.146,-0.094
15946687,1351073970.307,19192000,-9235,-2145,1200.24,1065.476,-0.075,-0.031
15946695,1351073970.346,19192000,-9210,-2113,1197.91,1052.513,0.009000000000000001,-0.005
15946703,1351073970.385,19192000,-9162,-2122,1325.5739999999998,990.2360000000001,0.008,-0.006
15946711,1351073970.424,19192000,-9101,-2124,1367.476,980.007,0.049,-0.012
15946719,1351073970.463,19192000,-9037,-2133,1286.94,938.427,0.067,-0.001
15946727,1351073970.506,19192000,-9000,-2136,1228.951,885.447,0.065,0.006999999999999999
15946735,1351073970.546,19192000,-8942,-2105,1255.241,940.555,0.098,0.09699999999999999
15946743,1351073970.5839999,19192000,-8890,-2058,1267.353,918.578,0.172,0.165
15946751,1351073970.625,19192000,-8848,-2029,1263.288,969.041,0.177,0.18
15946759,1351073970.661,19192000,-8827,-2032,1264.469,992.868,0.184,0.20199999999999999
15946767,1351073970.7,19192000,-8794,-2056,1265.597,1080.004,0.078,0.16
15946775,1351073970.736,19192000,-8758,-2055,1262.28,1069.69,0.11599999999999999,0.135
15946783,1351073970.775,19192000,-8762,-2065,1259.7839999999999,960.1419999999999,0.085,0.10099999999999999
15946791,1351073970.812,19192000,-8754,-2061,1234.74,886.998,0.14300000000000002,0.081
15946799,1351073970.852,19192000,-8732,-2055,1202.875,884.5360000000001,0.19399999999999998,0.141
15946807,1351073970.889,19192000,-8727,-2042,1184.087,898.334,0.163,0.08
15946815,1351073970.929,19192000,-8690,-2023,1162.732,968.817,0.11699999999999999,0.09699999999999999
15946823,1351073970.968,19192000,-8674,-2014,1146.514,906.33,0.084,0.051
15946831,1351073971.0080001,19192000,-8662,-2007,1138.5739999999998,812.2719999999999,0.078,0.012
15946839,1351073971.05,19192000,-8610,-2003,1265.578,839.926,0.025,0.004
15946847,1351073971.091,19192000,-8556,-1988,1326.0020000000002,843.268,0.019,0.008
15946855,1351073971.129,19192000,-8504,-1978,1332.611,866.3380000000001,-0.008,-0.021
15946863,1351073971.171,19192000,-8437,-1978,1342.078,961.586,-0.069,-0.019
15946871,1351073971.213,19192000,-8385,-1977,1301.437,1009.079,-0.042,0.022000000000000002
15946879,1351073971.254,19192000,-8341,-1976,1267.758,1056.358,0.065,0.047
15946887,1351073971.293,19192000,-8253,-1957,1254.538,1111.989,0.076,0.061
15946895,1351073971.333,19192000,-8216,-1951,1257.816,1110.886,0.087,0.063
15946903,1351073971.3730001,19192000,-8205,-1954,1241.473,1081.737,0.085,0.076
15946911,1351073971.412,19192000,-8158,-1935,1250.076,1128.108,0.124,0.09300000000000001
15946919,1351073971.451,19192000,-8097,-1915,1236.912,1120.049,0.114,0.087
15946927,1351073971.49,19192000,-8032,-1881,1235.486,1194.512,0.07200000000000001,0.078
15946935,1351073971.5310001,19192000,-7938,-1868,1205.19,1249.938,0.064,0.08199999999999999
15946943,1351073971.571,19192000,-7895,-1846,1205.71,1192.154,0.124,0.08800000000000001
15946951,1351073971.61,19192000,-7795,-1828,1355.3870000000002,1213.046,0.134,0.094
15946959,1351073971.651,19192000,-7742,-1822,1389.739,1272.69,0.121,0.075
15946967,1351073971.692,19192000,-7669,-1802,1330.935,1298.2060000000001,0.10800000000000001,0.063
15946975,1351073971.7319999,19192000,-7629,-1801,1307.38,1245.823,0.079,0.064
15946983,1351073971.774,19192000,-7600,-1788,1352.66,1213.07,0.086,0.034
15946991,1351073971.813,19192000,-7565,-1784,1375.0770000000002,1122.643,0.067,0.024
15946999,1351073971.855,19192000,-7540,-1768,1319.999,1036.815,0.09300000000000001,0.055
15947007,1351073971.8960001,19192000,-7501,-1768,1332.5810000000001,1024.48,0.075,0.046
15947015,1351073971.937,19192000,-7479,-1766,1328.3770000000002,1004.5219999999999,0.052000000000000005,0.033
15947023,1351073971.977,19192000,-7466,-1768,1303.232,958.944,0.063,0.048
15947031,1351073972.016,19192000,-7433,-1764,1263.43,972.893,0.077,0.049
15947039,1351073972.057,19192000,-7407,-1755,1259.221,946.154,0.048,0.052000000000000005
15947047,1351073972.099,19192000,-7365,-1742,1236.615,943.334,-0.013999999999999999,0.019
15947055,1351073972.139,19192000,-7375,-1748,1214.743,806.5369999999999,-0.054000000000000006,-0.005
15947063,1351073972.178,19192000,-7353,-1759,1213.7169999999999,819.1160000000001,-0.08900000000000001,-0.047
15947071,1351073972.217,19192000,-7341,-1751,1210.1960000000001,643.7230000000001,-0.034,-0.01
15947079,1351073972.256,19192000,-7330,-1733,1213.338,640.871,0.045,0.033
15947087,1351073972.296,19192000,-7254,-1715,1355.5410000000002,712.1310000000001,0.06,0.038
15947094,1351073972.335,19192000,-7188,-1680,1406.1889999999999,678.577,0.145,0.055
15947101,1351073972.3739998,19192000,-7158,-1667,1413.455,662.2330000000001,0.036000000000000004,0.040999999999999995
15947108,1351073972.4160001,19192000,-7103,-1668,1403.5020000000002,679.2489999999999,0.068,0.034
